Dataset,Method,Algorithm,Training Size,Layer,AUC,MAP,BRP_90
commonsense_qa,White Box,DIM,500,13,0.737664,0.7132643712948487,0.058
commonsense_qa,White Box,DIM,500,15,0.7536499999999999,0.7351740278174455,0.102
commonsense_qa,White Box,DIM,500,17,0.7714340000000001,0.764157105027536,0.112
commonsense_qa,White Box,DIM,500,19,0.7661020000000001,0.7534010154566213,0.1
commonsense_qa,White Box,DIM,500,21,0.7682500000000001,0.756922042722219,0.126
commonsense_qa,White Box,DIM,500,23,0.764848,0.7540666557761388,0.116
commonsense_qa,White Box,DIM,500,25,0.76527,0.7536127764727538,0.112
commonsense_qa,White Box,DIM,500,27,0.766098,0.7550984838735681,0.098
commonsense_qa,White Box,DIM,500,29,0.765684,0.7556246933110238,0.114
commonsense_qa,White Box,DIM,500,31,0.765318,0.7561372130956943,0.132
commonsense_qa,White Box,LAT,500,1,0.505212,0.5061025588818657,0.002
commonsense_qa,White Box,LAT,500,3,0.5041180000000001,0.5102001198548454,0.004
commonsense_qa,White Box,LAT,500,5,0.49961999999999995,0.506493713797125,0.004
commonsense_qa,White Box,LAT,500,7,0.49382799999999993,0.49737488479182823,0.0
commonsense_qa,White Box,LAT,500,9,0.499406,0.5030317963027512,0.0
commonsense_qa,White Box,LAT,500,11,0.50325,0.5064706832118535,0.0
commonsense_qa,White Box,LAT,500,13,0.520516,0.5270421550663956,0.0
commonsense_qa,White Box,LAT,500,15,0.5400780000000001,0.5522675929995942,0.0
commonsense_qa,White Box,LAT,500,17,0.555938,0.5616901626262347,0.008
commonsense_qa,White Box,LAT,500,19,0.6259859999999999,0.6200782318897876,0.004
commonsense_qa,White Box,LAT,500,21,0.630664,0.6246825662396083,0.002
commonsense_qa,White Box,LAT,500,23,0.7195819999999999,0.7028548270913741,0.01
commonsense_qa,White Box,LAT,500,25,0.7015279999999999,0.6806899006823806,0.004
commonsense_qa,White Box,LAT,500,27,0.74518,0.7294857870976451,0.01
commonsense_qa,White Box,LAT,500,29,0.7406320000000001,0.7233126315549749,0.022
commonsense_qa,White Box,LAT,500,31,0.7411860000000001,0.7261364024399592,0.022
commonsense_qa,White Box,CCS,500,1,0.5045759999999999,0.5116456246262319,0.0
commonsense_qa,White Box,CCS,500,3,0.487078,0.49949929312315744,0.0
commonsense_qa,White Box,CCS,500,5,0.490826,0.5020932301609955,0.0
commonsense_qa,White Box,CCS,500,7,0.48996799999999996,0.4970546320240824,0.0
commonsense_qa,White Box,CCS,500,9,0.583604,0.5738170947457233,0.002
commonsense_qa,White Box,CCS,500,11,0.6874999999999999,0.6693199149008565,0.076
commonsense_qa,White Box,CCS,500,13,0.740912,0.7216964131142883,0.056
commonsense_qa,White Box,CCS,500,15,0.7786040000000001,0.7728338366262469,0.15
commonsense_qa,White Box,CCS,500,17,0.750416,0.7134488372745249,0.0
commonsense_qa,White Box,CCS,500,19,0.76972,0.7584111159098885,0.064
commonsense_qa,White Box,CCS,500,21,0.7832840000000001,0.757982325722856,0.01
commonsense_qa,White Box,CCS,500,23,0.7927279999999999,0.7895614171919587,0.182
commonsense_qa,White Box,CCS,500,25,0.782252,0.7669280508968013,0.068
commonsense_qa,White Box,CCS,500,27,0.7834599999999999,0.7662984883166118,0.076
commonsense_qa,White Box,CCS,500,29,0.784096,0.7693498501001854,0.084
commonsense_qa,White Box,CCS,500,31,0.7871360000000001,0.7791854648703452,0.222
commonsense_qa,White Box,LDA,500,1,0.493598,0.49897752773120513,0.002
commonsense_qa,White Box,LDA,500,3,0.503338,0.5055008962816677,0.008
commonsense_qa,White Box,LDA,500,5,0.5175460000000001,0.5149076456879902,0.002
commonsense_qa,White Box,LDA,500,7,0.544822,0.5415124226536101,0.0
commonsense_qa,White Box,LDA,500,9,0.5798019999999999,0.5546372647015927,0.004
commonsense_qa,White Box,LDA,500,11,0.646858,0.6139389988250669,0.006
commonsense_qa,White Box,LDA,500,13,0.696314,0.6757177658667449,0.002
commonsense_qa,White Box,LDA,500,15,0.705512,0.6958739112021107,0.04
commonsense_qa,White Box,LDA,500,17,0.7134299999999999,0.6982083548511424,0.04
commonsense_qa,White Box,LDA,500,19,0.71139,0.6933936388786394,0.04
commonsense_qa,White Box,LDA,500,21,0.719146,0.6953888969028801,0.02
commonsense_qa,White Box,LDA,500,23,0.7060940000000001,0.685330642259346,0.016
commonsense_qa,White Box,LDA,500,25,0.6995459999999999,0.6871691241008444,0.058
commonsense_qa,White Box,LDA,500,27,0.6898500000000001,0.6624170706211836,0.008
commonsense_qa,White Box,LDA,500,29,0.6916619999999999,0.6584648350822986,0.01
commonsense_qa,White Box,LDA,500,31,0.6856939999999999,0.6588027113551329,0.054
commonsense_qa,White Box,PCA,500,1,0.505574,0.5066666573018968,0.002
commonsense_qa,White Box,PCA,500,3,0.503866,0.5099925133117302,0.004
commonsense_qa,White Box,PCA,500,5,0.499666,0.5065719305679982,0.004
commonsense_qa,White Box,PCA,500,7,0.493428,0.4969962513972195,0.0
commonsense_qa,White Box,PCA,500,9,0.49801799999999996,0.503242634922712,0.0
commonsense_qa,White Box,PCA,500,11,0.501762,0.5049618342283829,0.0
commonsense_qa,White Box,PCA,500,13,0.514156,0.518465888014316,0.0
commonsense_qa,White Box,PCA,500,15,0.52451,0.5330798334118731,0.0
commonsense_qa,White Box,PCA,500,17,0.541898,0.5487899624613773,0.01
