Dataset,Method,Layer,Metric,Mean A,Mean B,W-Statistic,P-Value,Significant (p<0.05)
commonsense_qa,LDA,3,AUC,0.49812960000000006,0.4886768,139.0,0.054921628907322884,False
commonsense_qa,LDA,3,Macro F1,0.49615623736415765,0.4765385688793507,49.0,4.968419671058655e-05,True
commonsense_qa,LDA,5,AUC,0.5214506666666667,0.503336,63.0,0.00023163668811321259,True
commonsense_qa,LDA,5,Macro F1,0.5216268382800069,0.47879988296730136,1.0,3.725290298461914e-09,True
commonsense_qa,LDA,7,AUC,0.5541754666666666,0.5508186666666667,189.0,0.537722120370485,False
commonsense_qa,LDA,7,Macro F1,0.5314071784575557,0.5263608632016294,165.0,0.17059839516878128,False
commonsense_qa,LDA,9,AUC,0.5929898666666668,0.5771162666666665,95.0,0.0037444327026605606,True
commonsense_qa,LDA,9,Macro F1,0.5593880479059231,0.5461268453060166,100.0,0.005382779985666275,True
commonsense_qa,LDA,11,AUC,0.6467466666666667,0.6190464,6.0,2.60770320892334e-08,True
commonsense_qa,LDA,11,Macro F1,0.6050883411983807,0.5768525354047935,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,13,AUC,0.7026346666666665,0.6537535999999999,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,13,Macro F1,0.6517831856722542,0.6061522665948461,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,15,AUC,0.7080373333333334,0.6606768,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,15,Macro F1,0.6443201200291988,0.6111637240702936,1.0,3.725290298461914e-09,True
commonsense_qa,LDA,17,AUC,0.7086853333333335,0.7092639999999999,225.0,0.8871948085725307,False
commonsense_qa,LDA,17,Macro F1,0.6509281447093407,0.6437430422690683,135.0,0.044907208532094955,True
commonsense_qa,LDA,19,AUC,0.7245877333333335,0.6922213333333331,3.0,2.351977194551935e-06,True
commonsense_qa,LDA,19,Macro F1,0.6587163315985246,0.6305094645656731,11.0,1.0244548320770264e-07,True
commonsense_qa,LDA,21,AUC,0.7312208000000001,0.6813695999999999,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,21,Macro F1,0.6787995717688713,0.6301671133738773,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,23,AUC,0.7243093333333334,0.6979770666666666,16.0,3.1478703022003174e-07,True
commonsense_qa,LDA,23,Macro F1,0.6634214843576075,0.6393228037337955,17.0,3.855675458908081e-07,True
commonsense_qa,LDA,25,AUC,0.7124709333333334,0.6712042666666667,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,25,Macro F1,0.6568946059965286,0.6167553537641727,1.0,3.725290298461914e-09,True
commonsense_qa,LDA,27,AUC,0.7066042666666665,0.6745925333333332,10.0,8.009374141693115e-08,True
commonsense_qa,LDA,27,Macro F1,0.65670255718392,0.6159966153275546,1.0,3.725290298461914e-09,True
commonsense_qa,LDA,29,AUC,0.6974373333333335,0.6751152000000001,6.0,2.60770320892334e-08,True
commonsense_qa,LDA,29,Macro F1,0.6482669029996087,0.6040311945957229,0.0,1.862645149230957e-09,True
commonsense_qa,LDA,31,AUC,0.6890341333333334,0.6714762666666666,21.0,8.326023817062378e-07,True
commonsense_qa,LDA,31,Macro F1,0.6448712791554266,0.6180414900176273,3.0,9.313225746154785e-09,True
commonsense_qa,PCA,1,AUC,0.5004997333333333,0.4998053333333334,23.5,1.716505292418961e-05,True
commonsense_qa,PCA,1,Macro F1,0.48055594113789113,0.4680560986330254,18.0,4.7124922275543213e-07,True
commonsense_qa,PCA,3,AUC,0.5005951999999999,0.5002373333333333,142.0,0.0635564886033535,False
commonsense_qa,PCA,3,Macro F1,0.49584973250961056,0.490220829441979,92.0,0.0029870010912418365,True
commonsense_qa,PCA,5,AUC,0.5000239999999999,0.49966186666666673,111.5,0.012816247731581418,True
commonsense_qa,PCA,5,Macro F1,0.4965270610165379,0.4936754987251044,100.0,0.005382779985666275,True
commonsense_qa,PCA,7,AUC,0.5008426666666668,0.5005253333333334,110.0,0.011743660161690107,True
commonsense_qa,PCA,7,Macro F1,0.5002866953441866,0.5094646263932769,0.0,1.862645149230957e-09,True
commonsense_qa,PCA,9,AUC,0.5063616,0.5066197333333332,183.0,0.30858926573377876,False
commonsense_qa,PCA,9,Macro F1,0.5102342784043932,0.5069539208368328,105.0,0.008727891454826182,True
commonsense_qa,PCA,11,AUC,0.5108896,0.5087600000000001,5.0,2.8768627254590153e-06,True
