Dataset,Condition,Method,Algorithm,Layer,AUC,MAP,BRP_90
commonsense_qa,Setup A (Balanced),White Box,PCA,3,0.5011,0.5056467615252735,0.004
commonsense_qa,Setup B (Imbalanced),White Box,PCA,3,0.500788,0.5059131599426157,0.004
commonsense_qa,Setup A (Balanced),White Box,PCA,5,0.500836,0.506409514002345,0.006
commonsense_qa,Setup B (Imbalanced),White Box,PCA,5,0.5005719999999999,0.5058483326244677,0.006
commonsense_qa,Setup A (Balanced),White Box,PCA,7,0.501908,0.5067511924773528,0.004
commonsense_qa,Setup B (Imbalanced),White Box,PCA,7,0.5016200000000001,0.506538379081978,0.004
commonsense_qa,Setup A (Balanced),White Box,PCA,9,0.506812,0.5107132948086357,0.0
commonsense_qa,Setup B (Imbalanced),White Box,PCA,9,0.50684,0.5109804606555483,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA,11,0.512488,0.5128529453316749,0.0
commonsense_qa,Setup B (Imbalanced),White Box,PCA,11,0.510188,0.5105194443213613,0.0
commonsense_qa,Setup A (Balanced),White Box,PCA,13,0.5256879999999999,0.5341203769592653,0.0
commonsense_qa,Setup B (Imbalanced),White Box,PCA,13,0.52022,0.5255599058515851,0.0
commonsense_qa,Setup A (Balanced),White Box,PCA,15,0.535308,0.5541981097486905,0.024
commonsense_qa,Setup B (Imbalanced),White Box,PCA,15,0.5283800000000001,0.544766611026324,0.022
commonsense_qa,Setup A (Balanced),White Box,PCA,17,0.562268,0.573090196729019,0.002
commonsense_qa,Setup B (Imbalanced),White Box,PCA,17,0.604224,0.6090549490446843,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA,19,0.6262279999999999,0.6322964956846814,0.002
commonsense_qa,Setup B (Imbalanced),White Box,PCA,19,0.6640759999999999,0.6618817003557572,0.038
commonsense_qa,Setup A (Balanced),White Box,PCA,21,0.6496999999999999,0.6529773695316733,0.002
commonsense_qa,Setup B (Imbalanced),White Box,PCA,21,0.694972,0.6889920802616499,0.0
commonsense_qa,Setup A (Balanced),White Box,PCA,23,0.706604,0.7006886381249839,0.002
commonsense_qa,Setup B (Imbalanced),White Box,PCA,23,0.725708,0.7141388239382029,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA,25,0.6913559999999999,0.6867874465167647,0.002
commonsense_qa,Setup B (Imbalanced),White Box,PCA,25,0.7129239999999999,0.6998988051696173,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA,27,0.743072,0.7288929285656701,0.018
commonsense_qa,Setup B (Imbalanced),White Box,PCA,27,0.7422359999999999,0.7241191110032298,0.01
commonsense_qa,Setup A (Balanced),White Box,PCA,29,0.74538,0.7315621401789993,0.018
commonsense_qa,Setup B (Imbalanced),White Box,PCA,29,0.738972,0.7231529822276447,0.02
commonsense_qa,Setup A (Balanced),White Box,PCA,31,0.739852,0.7231370902784486,0.004
commonsense_qa,Setup B (Imbalanced),White Box,PCA,31,0.7374639999999999,0.719663479159296,0.01
commonsense_qa,Setup A (Balanced),White Box,PCA-G,1,0.506072,0.5063471243997273,0.004
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,1,0.506168,0.5061805267900705,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA-G,3,0.486936,0.4937807867821351,0.002
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,3,0.484328,0.4911128518163117,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA-G,5,0.484284,0.5012234663860182,0.004
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,5,0.516924,0.5092279437171721,0.0
commonsense_qa,Setup A (Balanced),White Box,PCA-G,7,0.505384,0.5043237248854411,0.004
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,7,0.504764,0.5045238869677011,0.004
commonsense_qa,Setup A (Balanced),White Box,PCA-G,9,0.501016,0.5050458080777664,0.0
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,9,0.498068,0.4999582976070602,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA-G,11,0.521368,0.5134437317463751,0.0
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,11,0.5165759999999999,0.5105514057923344,0.002
commonsense_qa,Setup A (Balanced),White Box,PCA-G,13,0.69662,0.6794057687680658,0.0
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,13,0.665728,0.6410063510489961,0.0
commonsense_qa,Setup A (Balanced),White Box,PCA-G,15,0.7505759999999999,0.7446074287882013,0.094
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,15,0.727444,0.7192000081188759,0.04
commonsense_qa,Setup A (Balanced),White Box,PCA-G,17,0.781488,0.7755031597729617,0.128
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,17,0.769216,0.7642511662876719,0.106
commonsense_qa,Setup A (Balanced),White Box,PCA-G,19,0.7747360000000001,0.763976076340342,0.092
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,19,0.765308,0.7532531666964203,0.066
commonsense_qa,Setup A (Balanced),White Box,PCA-G,21,0.778268,0.7676785751463335,0.11
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,21,0.7711520000000001,0.7598380042999904,0.068
commonsense_qa,Setup A (Balanced),White Box,PCA-G,23,0.7767359999999999,0.7640859888467295,0.078
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,23,0.770896,0.756700366413318,0.06
commonsense_qa,Setup A (Balanced),White Box,PCA-G,25,0.7771040000000001,0.7638843613047648,0.092
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,25,0.768532,0.7543763074333781,0.06
commonsense_qa,Setup A (Balanced),White Box,PCA-G,27,0.777968,0.7653525605159939,0.068
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,27,0.7693159999999999,0.7552104992102298,0.06
commonsense_qa,Setup A (Balanced),White Box,PCA-G,29,0.776052,0.7640578713635406,0.084
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,29,0.76728,0.7554056348472963,0.066
commonsense_qa,Setup A (Balanced),White Box,PCA-G,31,0.774104,0.7625239690140004,0.098
commonsense_qa,Setup B (Imbalanced),White Box,PCA-G,31,0.7660560000000001,0.753761499208691,0.074
commonsense_qa,Setup A (Balanced),White Box,LR-G,1,0.511072,0.5228605305628233,0.02
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,1,0.535768,0.5361446592052286,0.018
commonsense_qa,Setup A (Balanced),White Box,LR-G,3,0.485676,0.49763862861390046,0.006
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,3,0.5035999999999999,0.512607896345141,0.006
commonsense_qa,Setup A (Balanced),White Box,LR-G,5,0.536796,0.5472480934782651,0.036
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,5,0.5426120000000001,0.5383242290183476,0.004
commonsense_qa,Setup A (Balanced),White Box,LR-G,7,0.6835000000000001,0.6729443144685028,0.0
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,7,0.6540320000000001,0.6405636039856529,0.018
commonsense_qa,Setup A (Balanced),White Box,LR-G,9,0.803216,0.8024727296465032,0.276
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,9,0.79348,0.7932787941879169,0.236
commonsense_qa,Setup A (Balanced),White Box,LR-G,11,0.8850719999999999,0.8867866691916324,0.54
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,11,0.8763120000000001,0.8783446510120992,0.522
commonsense_qa,Setup A (Balanced),White Box,LR-G,13,0.919676,0.9205914160783388,0.684
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,13,0.915436,0.9158119820383992,0.682
commonsense_qa,Setup A (Balanced),White Box,LR-G,15,0.935308,0.9345534172332589,0.812
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,15,0.9278519999999999,0.9266193563628904,0.756
commonsense_qa,Setup A (Balanced),White Box,LR-G,17,0.944752,0.9420520975955581,0.87
commonsense_qa,Setup B (Imbalanced),White Box,LR-G,17,0.9380999999999999,0.9374520669560084,0.844
commonsense_qa,Setup A (Balanced),White Box,LR-G,19,0.941168,0.9385112388517541,0.838
