,,,AUC,AUC,Accuracy,Accuracy,Macro F1,Macro F1,Recall (True),Recall (True)
Condition,,,Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced)
Dataset,Method,Algorithm,,,,,,,,
open_book_qa,White Box (Probes),LR,0.697877,0.6875490000000001,0.64355,0.6086958333333333,0.6425217168944962,0.5524498618253542,0.6823666666666667,0.35390000000000005
open_book_qa,White Box (Probes),LR-G,0.8527956999999999,0.8443194666666667,0.7778791666666667,0.6323875,0.7771531552883068,0.5602856490367747,0.7651666666666667,0.2800083333333333
open_book_qa,White Box (Probes),PCA,0.6181315333333333,0.6176025666666667,0.5815041666666667,0.5813333333333334,0.5750684682991561,0.5743713282119063,0.6083083333333333,0.6253916666666667
open_book_qa,White Box (Probes),PCA-G,0.6432700666666666,0.6408947333333334,0.5990833333333333,0.5967125000000001,0.5889550882582929,0.5864646303280114,0.723675,0.7278
race,Black Box (Logprobs),CCS,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,Black Box (Logprobs),DIM,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,Black Box (Logprobs),LAT,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,Black Box (Logprobs),LDA,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,Black Box (Logprobs),LR,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,Black Box (Logprobs),LR-G,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,Black Box (Logprobs),PCA,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,Black Box (Logprobs),PCA-G,0.7469394666666667,0.7417597333333333,0.6922666666666667,0.5941333333333333,0.6910611460720281,0.5407989173255048,0.7524,0.2538666666666667
race,White Box (Probes),CCS,0.6832259833333333,0.6684598333333334,0.6350250000000001,0.6247958333333333,0.6347298498488415,0.6244145784727547,0.646925,0.6236583333333333
race,White Box (Probes),DIM,0.6735275333333333,0.6648301166666666,0.6228833333333333,0.6173333333333333,0.6224492703703285,0.6164258575387492,0.648875,0.6253083333333334
race,White Box (Probes),LAT,0.5240265166666667,0.5056574333333334,0.5195583333333333,0.5054791666666667,0.5182364349896492,0.5028355905007595,0.561175,0.51985
race,White Box (Probes),LDA,0.6308268333333333,0.6008709999999999,0.5961708333333333,0.571875,0.595898508637793,0.568261160035799,0.5933666666666666,0.48518333333333336
race,White Box (Probes),LR,0.7204075,0.6943266,0.6589458333333333,0.6062791666666667,0.6586179839321008,0.5458171506101208,0.6575500000000001,0.3232333333333334
race,White Box (Probes),LR-G,0.8475786666666667,0.8276431333333334,0.7693583333333333,0.6327458333333333,0.7683705792994774,0.5579254875367596,0.7871416666666666,0.27573333333333333
race,White Box (Probes),PCA,0.5215771666666666,0.5082408666666667,0.5181541666666667,0.50665,0.5168367415508369,0.5039587388858742,0.5596166666666667,0.5236166666666666
race,White Box (Probes),PCA-G,0.6605013666666667,0.6602011666666667,0.6169708333333334,0.6141458333333334,0.6161354009801235,0.612500903800547,0.6435833333333334,0.6549166666666667
